run_id,condition_id,label,generated_status,requires_review,selected_action_type,selected_option_source,accepted_gray_option_count,rejected_gray_option_count,claim_boundary

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,gray_option_split_option_candidate,candidate,true,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,gray_option_threshold_aware_option_candidate,candidate,true,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,gray_option_pressure_conditioned_option_candidate,candidate,true,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,gray_option_within_control_option_candidate,candidate,true,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,gray_option_outside_control_option_rejected,not_observed,false,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,seeded_menu_split_option_present,observed,true,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,applicant_selected_seeded_option,not_observed,false,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,applicant_selected_gray_seeded_split_option,not_observed,false,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,applicant_selected_conservative_option,observed,true,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,split_with_aggregate_context_candidate,not_observed,false,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,split_without_aggregate_context_candidate,not_observed,false,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,SL1,not_observed,false,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,SL2,not_observed,false,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,SL4,not_observed,false,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,SL5,observed,true,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only

phase4-s33-gray-option-seeded-structuring-diagnostic-0001-go03-queue-volume-pressure-run-001,GO03_QUEUE_VOLUME_PRESSURE,SL6,not_observed,false,submit_single_aggregate_request,canonical,6,0,phase4_gray_option_seeded_structuring_observation_only
